name	cityruins
speed 	5
type	panel

palette	data/bgs/cachtice/decoration/cityruins1.gif

anim	idle
	loop	1
	offset	0 0
	delay	7
	frame	data/bgs/cachtice/decoration/cityruins1.gif
	frame	data/bgs/cachtice/decoration/cityruins2.gif
	frame	data/bgs/cachtice/decoration/cityruins3.gif
	frame	data/bgs/cachtice/decoration/cityruins4.gif
	frame	data/bgs/cachtice/decoration/cityruins5.gif
	frame	data/bgs/cachtice/decoration/cityruins6.gif
	frame	data/bgs/cachtice/decoration/cityruins7.gif
	frame	data/bgs/cachtice/decoration/cityruins8.gif
	frame	data/bgs/cachtice/decoration/cityruins9.gif
	frame	data/bgs/cachtice/decoration/cityruins10.gif
	frame	data/bgs/cachtice/decoration/cityruins11.gif
	frame	data/bgs/cachtice/decoration/cityruins12.gif
	frame	data/bgs/cachtice/decoration/cityruins13.gif
	frame	data/bgs/cachtice/decoration/cityruins14.gif
	frame	data/bgs/cachtice/decoration/cityruins15.gif
	frame	data/bgs/cachtice/decoration/cityruins16.gif
	frame	data/bgs/cachtice/decoration/cityruins17.gif
	frame	data/bgs/cachtice/decoration/cityruins18.gif
	frame	data/bgs/cachtice/decoration/cityruins19.gif

#|edited by openBor Stats v 0.41
		
